"","state","nCFR","cCFR","total_deaths","cum_known_t","total_cases","nCFR_UQ","nCFR_LQ","cCFR_UQ","cCFR_LQ","underreporting_estimate","lower","upper","quantile25","quantile75","bottom","top","underreporting_estimate_clean"
"1","Alabama",0.00357888458097226,0.0242361883051164,12,495,3353,0.006243237311167,0.00185058725911293,0.0419634613449106,0.0125877292052366,0.57,0.29,1,0.0192585855717134,0.0306418125718027,0.42,0.73,"57% (29% - 100%)"
"2","Arizona",0.0161476355247982,0.108359392239948,56,517,3468,0.0209183818920212,0.0122202030336725,0.138347410004819,0.0828650037180347,0.13,0.089,0.18,0.098649531788338,0.119021654781057,0.11,0.14,"13% (8.9% - 18%)"
"3","Arkansas",0.00612745098039216,0.0349560380810556,15,429,2448,0.0100861907812815,0.00343342295447576,0.0570144091454489,0.0196992532181439,0.39,0.22,0.78,0.0285879923105123,0.0429161681183559,0.3,0.49,"39% (22% - 78%)"
"4","California",0.0193241056983642,0.0819815335178614,645,7868,33378,0.0208584473233726,0.0178742379066515,0.0882588967269642,0.0760081076645035,0.17,0.14,0.2,0.0798625611741701,0.0841618212441563,0.15,0.18,"17% (14% - 20%)"
"5","Colorado",0.0165885660731022,0.0873468526544964,177,2026,10670,0.0191951571657629,0.0142508489878452,0.100511767319527,0.0754259033783645,0.16,0.12,0.2,0.083020891615293,0.0919777748486691,0.14,0.17,"16% (12% - 20%)"
"6","Connecticut",0.0208273069135088,0.14572455496229,144,988,6914,0.0244748702196332,0.0175921281003945,0.169310772643008,0.124322101199663,0.095,0.073,0.12,0.13791138300193,0.154064851574755,0.084,0.1,"9.5% (7.3% - 12%)"
"7","District of Columbia",0.0110775427995972,0.0570298090820195,22,386,1986,0.0167237502776603,0.00695489540483196,0.0850219840082266,0.0360593158725527,0.24,0.14,0.42,0.048546104355671,0.067075409522269,0.19,0.29,"24% (14% - 42%)"
"8","Florida",0.014881933003844,0.0919407565068599,271,2948,18210,0.0167475561723784,0.013173673724507,0.102935023899497,0.0817364488821928,0.15,0.12,0.19,0.088258881764831,0.095776779809372,0.14,0.16,"15% (12% - 19%)"
"9","Georgia",0.0314787701317716,0.184982739955399,387,2092,12294,0.0347189925566113,0.0284629527853766,0.202305486904966,0.168562901187402,0.075,0.061,0.091,0.179124735471603,0.191053567762997,0.068,0.078,"7.5% (6.1% - 9.1%)"
"10","Idaho",0.0108499095840868,0.0841647536643907,12,143,1106,0.0188758390375927,0.00561852307445977,0.141996408004687,0.044113503939893,0.16,0.087,0.35,0.066919874065539,0.105205886566694,0.12,0.21,"16% (8.7% - 35%)"
"11","Illinois",0.0107061503416856,0.0644674554804274,188,2916,17560,0.0123405828736882,0.00923695907300949,0.0740025924283386,0.0558271266934917,0.21,0.17,0.27,0.0613312476409355,0.0678102920646723,0.19,0.23,"21% (17% - 27%)"
"12","Indiana",0.0277536860364267,0.225003514944566,128,569,4612,0.0329122350551294,0.0232054147559688,0.261525251317082,0.191271302538427,0.061,0.047,0.08,0.212600618385587,0.237959417949773,0.055,0.066,"6.1% (4.7% - 8%)"
"13","Kansas",0.0270485282418457,0.157952621791671,34,215,1257,0.0375938736224394,0.0188030153308627,0.213911149370144,0.112070444791369,0.087,0.058,0.14,0.140158456289426,0.178343309606757,0.073,0.1,"8.7% (5.8% - 14%)"
"14","Kentucky",0.0243515087347803,0.131559313004702,46,350,1889,0.0323490457309706,0.0178822437860962,0.171390960592002,0.0978534823962365,0.1,0.072,0.16,0.118549273496083,0.145760381677152,0.089,0.12,"10% (7.2% - 16%)"
"15","Louisiana",0.0346304226401043,0.212395248773281,558,2627,16113,0.0375699294011304,0.0318605089121962,0.228556847390368,0.196905857374798,0.065,0.054,0.078,0.206908744789338,0.218053339513844,0.06,0.068,"6.5% (5.4% - 7.8%)"
"16","Maryland",0.00889877641824249,0.0532135175790408,40,752,4495,0.0120980849328517,0.00636481022863612,0.071730389092133,0.0382691301725633,0.26,0.17,0.4,0.0474132225505444,0.0597916727483877,0.22,0.3,"26% (17% - 40%)"
"17","Massachusetts",0.00835280373831776,0.0522061788618469,143,2739,17120,0.00983215690086747,0.00704433798450362,0.0612126828672013,0.0441780019447734,0.26,0.2,0.35,0.0492675200238235,0.0553678110861633,0.23,0.28,"26% (20% - 35%)"
"18","Michigan",0.019023818024175,0.144392662696926,373,2583,19607,0.0210343671099207,0.0171577519886658,0.158557323476739,0.131065565418938,0.096,0.078,0.12,0.139637727392049,0.149354205232048,0.087,0.1,"9.6% (7.8% - 12%)"
